original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date,catalogue_year,flagged
"Elkin (R. H.)-Little people : rhymes. Illus. by H. Willebeek Le Mair. 84 X10, 3s. 6d. net AUGENER, Nov. 15",85,93,,Elkin (R. H.),Little people : rhymes. Illus. by H. Willebeek Le Mair.,,"84 X10, 3s. 6d. net",AUGENER,Nov. 15,1915,False
"Ell wood (Charles A.)-The Social problem : a constructive analysis. Cr. 8vo., 5s. 6d. net MACMILLAN, May 15",86,94,,Ell wood (Charles A.),The Social problem : a constructive analysis.,Cr. 8vo.,5s. 6d. net,MACMILLAN,May 15,1915,False
"Elliott (A.)The Workmen's Compensation Act, 1906 : being the 7th ed. of Elliott's Work- men's Coinpensation Acts.” Ryl. 8vo. 255. net STEVEN & H., Nov. 15",85,93,,Elliott (A.),"The Workmen's Compensation Act, 1906 : being the 7th ed. of Elliott's Work- men's Coinpensation Acts.”",Ryl. 8vo.,255. net,STEVEN & H.,Nov. 15,1915,False
"Elliott (Francis P.)—Pals first: a romance of love and comradery. Cr. 8vo., 6s. HARPER, Apr. 15",85,93,,Elliott (Francis P.),Pals first: a romance of love and comradery.,Cr. 8vo.,6s.,HARPER,Apr. 15,1915,False
"Elliott (G. F. Scott)-Prehistoric man and his story: a sketch of the history of mankind from the earliest times. 8vo. 9X51, pp. 414, 78 6d. net.. ...SEELEY, S., Oct. 15",85,93,,Elliott (G. F. Scott),Prehistoric man and his story: a sketch of the history of mankind from the earliest times.,8vo.,"9X51, pp. 414, 78 6d. net.. ...","SEELEY, S.",Oct. 15,1915,False
"Elliott (H. B.) ""ed.--The Golden lattice. 8vo. 8{ x6, pp. 318, 5S... ..JARROLD, Oct. 15",85,93,,Elliott (H. B.),"""ed.--The Golden lattice.",8vo.,"8{ x6, pp. 318, 5S...",JARROLD,Oct. 15,1915,False
"Elliott (H. B.) ed.-Lest we forget : anthology. Foreword by Baroness Orczy. 8vo. 9 X6, pp. 140, 25. 6d. net.... JARROLD, Mar. 15",85,93,,Elliott (H. B.) ed.,Lest we forget : anthology. Foreword by Baroness Orczy.,8vo.,"9 X6, pp. 140, 25. 6d. net....",JARROLD,Mar. 15,1915,False
"Elliott (Ivo d'O.)--The Historical precedent for the New Army. Cr. 8vo., pp. 26, 3d, net. (Oxford pamphlets) (Clarendon Pr.) MILFORD, June 15",85,93,,Elliott (Ivo d'O.),The Historical precedent for the New Army.,Cr. 8vo.,"pp. 26, 3d, net. (Oxford pamphlets) (Clarendon Pr.)",MILFORD,June 15,1915,False
"Elliott (Jack, Captain)Collins & Co. Cr. 8vo. 73 X 44, pp. 316, os. ....ALLEN & U., Sep. 15",85,93,,"Elliott (Jack, Captain)",Collins & Co.,Cr. 8vo.,"73 X 44, pp. 316, os. ....",ALLEN & U.,Sep. 15,1915,False
"Elliott (M. S.)-The British Isles. Cr. Svo. 7* x 5, pp. 256, is. 6d. (Oxford Hist. geogs.) MILFORD, July 15",85,93,,Elliott (M. S.),The British Isles.,Cr. Svo.,"7* x 5, pp. 256, is. 6d. (Oxford Hist. geogs.)",MILFORD,July 15,1915,False
"Ellis (C.)-The Hydrogenation of oils, catalyzers and catalysis and the generation of hydrogen. 8vo., 16s. net CONSTABLE, Feb. 15",85,93,,Ellis (C.),"The Hydrogenation of oils, catalyzers and catalysis and the generation of hydrogen.",8vo.,16s. net,CONSTABLE,Feb. 15,1915,False
"Ellis (Edward S.)-The Cruise of the Deerfoot. Cr. 8vo. 73 X 5, pp. 285, 28. CASSELL, Oct. 15",85,93,,Ellis (Edward S.),The Cruise of the Deerfoot.,Cr. 8vo.,"73 X 5, pp. 285, 28.",CASSELL,Oct. 15,1915,False
"Ellis (Edward S.)-The Dragon of the skies. Cr. 8vo. 78 X 5, pp. 288, 25... CASSELL, Dec. 15",85,93,,Ellis (Edward S.),The Dragon of the skies.,Cr. 8vo.,"78 X 5, pp. 288, 25...",CASSELL,Dec. 15,1915,False
"Ellis (Edward S.)-The Three arrows. Cr. 8vo. 7*X41, pp. 318, 2s. .CASSELL, Oct. 15",85,93,,Ellis (Edward S.),The Three arrows.,Cr. 8vo.,"7*X41, pp. 318, 2s. .",CASSELL,Oct. 15,1915,False
"Ellis (George)-Modern prac. carpentry, for the use of workmen, builders, architects, and engineers. 2nd ed., rev. Folio 104 x 71, pp. 414, 129. 6d, net... BATSFORD, Sep. 15",85,93,,Ellis (George),"Modern prac. carpentry, for the use of workmen, builders, architects, and engineers. 2nd ed., rev.",Folio,"104 x 71, pp. 414, 129. 6d, net...",BATSFORD,Sep. 15,1915,False
"Ellis (Havelock) --Man and woman : a study of humau secondary sexual characters. 5th edit., rev. and enlarged. Cr. 8vo. 74 x5, pp. 588, 6s. (Contemporary science ser.) ..W. SCOTT, Mar. 15",85,93,,Ellis (Havelock),"Man and woman : a study of humau secondary sexual characters. 5th edit., rev. and enlarged.",Cr. 8vo.,"74 x5, pp. 588, 6s. (Contemporary science ser.)",W. SCOTT,Mar. 15,1915,False
"Ellis (Havelock)-Affirmations. 2nd ed., with new pref. 8vo. 9 X 51, pp. 266, 6s. net CONSTABLE, May 15",85,93,,Ellis (Havelock),"Affirmations. 2nd ed., with new pref.",8vo.,"9 X 51, pp. 266, 6s. net",CONSTABLE,May 15,1915,False
"Ellis (J.) ed.-Life's springtime : a selection of helpful, practical thoughts to guide those entering on life's responsible journey. Cr. 8vo. 7 X 41, pp. 188, Ithr. 38. 6d. net SIMPKIN, Oct. 15",85,93,,Ellis (J.) ed.,"Life's springtime : a selection of helpful, practical thoughts to guide those entering on life's responsible journey.",Cr. 8vo.,"7 X 41, pp. 188, Ithr. 38. 6d. net",SIMPKIN,Oct. 15,1915,False
"Ellis (J.)-Weapons for workers : three hundred and twenty-one outline addresses. Cr. 8vo, 78 X 5, pp. 186, 28. net......R. SCOTT, Oct. 15",85,93,,Ellis (J.),Weapons for workers : three hundred and twenty-one outline addresses.,"Cr. 8vo,","78 X 5, pp. 186, 28. net......",R. SCOTT,Oct. 15,1915,False
"Ellis (Mrs. Havelock)-Love-Acre : an idyl in two worlds. Cr. 8vo. 71 x 5, pp. 298, 6s. RICHARDS, Aug. 15",85,93,,Ellis (Mrs. Havelock),Love-Acre : an idyl in two worlds.,Cr. 8vo.,"71 x 5, pp. 298, 6s.",RICHARDS,Aug. 15,1915,False
"Ellis (T. Mullett)- What can a woman do for the Empire ? Cr. 8vo., pp. 324, swd. is. net HOLDEN & H., Oct. 15",85,93,,Ellis (T. Mullett),What can a woman do for the Empire ?,Cr. 8vo.,"pp. 324, swd. is. net",HOLDEN & H.,Oct. 15,1915,False
"Ellis (William T.)-The Billy Sunday Look : life, evangelism, message. 8vo. 84x51, pp. 432, 43. 6d, net VIR. PUB. Co., June 15",85,93,,Ellis (William T.),"The Billy Sunday Look : life, evangelism, message.",8vo.,"84x51, pp. 432, 43. 6d, net",VIR. PUB. Co.,June 15,1915,False
"Ellison (Grace)-An English woman in a Turkish harem. Cr. 8vo., 73 X5, pp. 240, 5s, net METHUEN, Feb. 15",85,93,,Ellison (Grace),An English woman in a Turkish harem.,Cr. 8vo.,"73 X5, pp. 240, 5s, net",METHUEN,Feb. 15,1915,False
"Elphinstone (M. C.)--War and the Gospel of Christ. Cr. 8vo. 71 x 48, pp. 150, 25. 6d. net SKEFFINGTON, July 15",86,94,,Elphinstone (M. C.),War and the Gospel of Christ.,Cr. 8vo.,"71 x 48, pp. 150, 25. 6d. net",SKEFFINGTON,July 15,1915,False
"Elton (Oliver)—Poetic romancers after 1850. 8vo. pp. 20, is. net. (British Academy) MILFORD, Jan. 15",86,94,,Elton (Oliver),Poetic romancers after 1850.,8vo.,"pp. 20, is. net. (British Academy)",MILFORD,Jan. 15,1915,False
"Eltzbacher (Paul, Prof.)-Germany's food, can it last ? Germany's food and England's plan to starve her out: a study by German experts. Eng. version ed. by S. Russell Wells. 8vo. 8} x 54, pp. 264, swd, 28. net HODDER & S., July 15",86,94,,"Eltzbacher (Paul, Prof.)","Germany's food, can it last ? Germany's food and England's plan to starve her out: a study by German experts. Eng. version ed. by S. Russell Wells.",8vo.,"8} x 54, pp. 264, swd, 28. net",HODDER & S.,July 15,1915,False
"Ely Diocesan calendar and clergy list, 1915. Cr. 8vo., swd. Is. net ....SIMPKIN, Feb. 15",86,94,,,"Ely Diocesan calendar and clergy list, 1915.",Cr. 8vo.,swd. Is. net ....,SIMPKIN,Feb. 15,1915,False
"Emergency legislation, See Legislation (Emer- gency). Emerson (Oliver F.) ed.-Middle English reader. With grammatical intro., notes and glossary. New and rev. edit. Cr. 8vo., 6s. net MACMILLAN, Mar. 15",86,94,"Emergency legislation, See Legislation (Emer- gency). ",Emerson (Oliver F.) ed.,"Middle English reader. With grammatical intro., notes and glossary. New and rev. edit.",Cr. 8vo.,6s. net,MACMILLAN,Mar. 15,1915,False
"Emerson (Ralph Waldo)--Poems. 12mo., pp. 256, IS. net; Ithr. 25. net. (Everyman's lib.) DENT, Mar. 15",86,94,,Emerson (Ralph Waldo),Poems.,12mo.,"pp. 256, IS. net; Ithr. 25. net. (Everyman's lib.)",DENT,Mar. 15,1915,False
"Emigrants’ Information Office Handbooks : Federated Malay States and Straits Settle- ments. 6d. .WYMAN, Feb. 15",86,94,,,Emigrants’ Information Office Handbooks : Federated Malay States and Straits Settle- ments.,,6d. .,WYMAN,Feb. 15,1915,False
"Emigrants’ Information Office-Handbooks: 1, Canada, id.; 5, Queensland, id. WYMAN, Apr. 15",86,94,,,"Emigrants’ Information Office-Handbooks: 1, Canada, id.; 5, Queensland, id.",,,WYMAN,Apr. 15,1915,False
"Emigrants' Information Office-Handbooks: 9, Union of South Africa, id.....WYMAN, Aug. 15",86,94,,,"Emigrants' Information Office-Handbooks: 9, Union of South Africa, id.....",,,WYMAN,Aug. 15,1915,False
"Emigrants' Information Office-Handbooks. 2, New South Wales, id. ; 6, Western Australia, id. ; 7, Tasmania, id.. ...WYMAN, June 15",86,94,,,"Emigrants' Information Office-Handbooks. 2, New South Wales, id. ; 6, Western Australia, id. ; 7, Tasmania, id..",,,WYMAN,June 15,1915,False
"Emigrants’ Information Office-Handbooks. 3, Victoria, id. ; 10, Professional, 3d. ; II, Emigration statutes and general, 3d. WYMAN, J 1:1y 15",86,94,,,"Emigrants’ Information Office-Handbooks. 3, Victoria, id. ; 10, Professional, 3d. ; II, Emigration statutes and general, 3d.",,,WYMAN,J 1:1y 15,1915,False
"Emigrants' Information Office-Handbooks. No. 4, South Australia, id. WYMAN, May 15",86,94,,,"Emigrants' Information Office-Handbooks. No. 4, South Australia, id.",,,WYMAN,May 15,1915,False
"Emigrants' Information Office-Report, 1914, 2 d.... WYMAN, Mar. 15",86,94,,,"Emigrants' Information Office-Report, 1914, 2 d....",,,WYMAN,Mar. 15,1915,False
"Emmett (Lewis E.)-Notes on perusing titles. 7th ed. 8vo., 155. net SOLICITORS' LAW STAT. Soc., Dec. 15",86,94,,Emmett (Lewis E.),Notes on perusing titles. 7th ed.,8vo.,155. net,SOLICITORS' LAW STAT. Soc.,Dec. 15,1915,False
"Emory (H. C.)-Forms and precedents for common use. With explanatory notes for the use of the legal profession, accountants, and commercial men, &c. 8vo. 81 x 54, pp. 294, 5S. net .E. WILSON, May 15",86,94,,Emory (H. C.),"Forms and precedents for common use. With explanatory notes for the use of the legal profession, accountants, and commercial men, &c.",8vo.,"81 x 54, pp. 294, 5S. net .",E. WILSON,May 15,1915,False
"Empire Annual for Boys. Ed. by A. R. Buckland. 8vo. 8* X 51, pp. 386, 35. 60. ..R.T.S., Sep. 15",86,94,,,Empire Annual for Boys. Ed. by A. R. Buckland.,8vo.,"8* X 51, pp. 386, 35. 60. ..",R.T.S.,Sep. 15,1915,False
"Empire Annual for Girls. Ed. by A. R. Buckland. 8vo. 8* * 5), pp. 386, 38. 6d. R.T.S., Sep. 15",86,94,,,Empire Annual for Girls. Ed. by A. R. Buckland.,8vo.,"8* * 5), pp. 386, 38. 6d.",R.T.S.,Sep. 15,1915,False
"Empire Review (The). Vol. 28. Ryl. 8vo. 75. 6d. net MACMILLAN, Jan. 15",86,94,,,Empire Review (The). Vol. 28.,Ryl. 8vo.,75. 6d. net,MACMILLAN,Jan. 15,1915,False
"Empire train book (The) Ryl. 8vo., 6d. (Dean's Rag bks.) ........ DEAN'S RAG Bk. Co., July 15",86,94,,,Empire train book (The),Ryl. 8vo.,6d. (Dean's Rag bks.) ........,DEAN'S RAG Bk. Co.,July 15,1915,False
"Employment in United Kingdom-Report respect- ing for February, 1915, 2}d. WYMAN, Mar. 15",86,94,,,"Employment in United Kingdom-Report respect- ing for February, 1915, 2}d.",,,WYMAN,Mar. 15,1915,False
"Encyclopaedla medica. Vol. 1, Abattoirs to Asphyxia. 2nd ed., under the gl. editorship of J. W. Ballantyne. Ryl. 8vo. 107 x 67, pp. 760, 20s. net ..GREEN, Mar. 15",86,94,,,"Encyclopaedla medica. Vol. 1, Abattoirs to Asphyxia. 2nd ed., under the gl. editorship of J. W. Ballantyne.",Ryl. 8vo.,"107 x 67, pp. 760, 20s. net ..",GREEN,Mar. 15,1915,False
"End is not yet (The) : five war sermons. By “ G."" 6d. .HUNTER & L., Feb. 15",86,94,,,"End is not yet (The) : five war sermons. By "" G.""",,6d. .,HUNTER & L.,Feb. 15,1915,False
"Endendijk (J.)-Hollandse Grammatika voor Schoolgebruik. Cr. 8vo., 2s. (Parallel grammar ser.) K. PAUL, Apr. 15",86,94,,Endendijk (J.),Hollandse Grammatika voor Schoolgebruik.,Cr. 8vo.,2s. (Parallel grammar ser.),K. PAUL,Apr. 15,1915,False
"Engelbach (Arthur H.)—More anecdotes of Bench and Bar. Cr. 8vo. 78 X 48, pp. 300, 35. 6d. net RICHARDS, Apr. 15",86,94,,Engelbach (Arthur H.),More anecdotes of Bench and Bar.,Cr. 8vo.,"78 X 48, pp. 300, 35. 6d. net",RICHARDS,Apr. 15,1915,False
"Engineering index annual (The), 1914. 8vo., 138. 6d. net ..BIRD, May 15",87,95,,,"Engineering index annual (The), 1914.",8vo.,138. 6d. net ..,BIRD,May 15,1915,False
"Engineering Standards Committee-Report on British standard pneumatic tyre rims for automobiles, motor cycles, and cycles. Folio swd. 55. net .C. LOCKWOOD, Apr. 15",87,95,,,"Engineering Standards Committee-Report on British standard pneumatic tyre rims for automobiles, motor cycles, and cycles.",Folio swd.,55. net .,C. LOCKWOOD,Apr. 15,1915,False
"Engineering Standards Committee-Report on British standard solid tyre rim diameters tor automobiles. Folio, swd., 55. net C. LOCKWOOD, June 15",87,95,,,Engineering Standards Committee-Report on British standard solid tyre rim diameters tor automobiles.,"Folio,","swd., 55. net",C. LOCKWOOD,June 15,1915,False
"England (John)-Allies. Ed. by J. E. Patterson. Cr. 8vo. 7 1 X5, pp. 320, 6s. . .SIMPKIN, A 1!g. 15",87,95,,England (John),Allies. Ed. by J. E. Patterson.,Cr. 8vo.,"7 1 X5, pp. 320, 6s. . .",SIMPKIN,A 1!g. 15,1915,False
"English catalogue of books (The), 1914. Ryl. 8vo., 78. 6d, net PUBLISHERS' CIRCULAR,” Mar. 15",87,95,,,"English catalogue of books (The), 1914.",Ryl. 8vo.,"78. 6d, net","PUBLISHERS' CIRCULAR,”",Mar. 15,1915,False
"English Prayer Book (The); together with the Psalter or Psalms of David. 18mo. 6x61, pp. 150, 3s. 6d. net Soc. of SS. PETER AND PAUL, Oct. 15",88,96,,,English Prayer Book (The); together with the Psalter or Psalms of David.,18mo.,"6x61, pp. 150, 3s. 6d. net",Soc. of SS. PETER AND PAUL,Oct. 15,1915,False
"English rite (The): being a synopsis of the sources and revisions of the Book of Common Prayer. With an intro. and appendix by F. E. Bright- man. 2 vols. Ryl. 8vo. 91x6, pp. 455, 633, .RIVINGTONS, July 15",88,96,,,English rite (The): being a synopsis of the sources and revisions of the Book of Common Prayer. With an intro. and appendix by F. E. Bright- man. 2 vols.,Ryl. 8vo.,"91x6, pp. 455, 633,",.RIVINGTONS,July 15,1915,False
"English woman's year book and directory, 1916. Cr. 8vo. 71 X 4, pp. 464, 25. 6d. net BLACK, Dec. 15",88,96,,,"English woman's year book and directory, 1916.",Cr. 8vo.,"71 X 4, pp. 464, 25. 6d. net",BLACK,Dec. 15,1915,False
"English-French conversational dictionary. 2nd ed. 16mo. 4£x 3, pp. 716, 25. 6d. (Jaschke) W. LOCKWOOD, July 15",88,96,,,English-French conversational dictionary. 2nd ed.,16mo.,"4£x 3, pp. 716, 25. 6d. (Jaschke)",W. LOCKWOOD,July 15,1915,False
"Enock (C. R.)-The Tropics: their resources, people and future. 64 illus. 8vo. 91 X5, pp. 490, 16s. net ..RICHARDS, Dec. 15",88,96,,Enock (C. R.),"The Tropics: their resources, people and future. 64 illus.",8vo.,"91 X5, pp. 490, 16s. net ..",RICHARDS,Dec. 15,1915,False
"Enriquez (C. M.)—The Realm of the gods : a tale of travel. Cr. 8vo. 75. 6d. net THACKER, Nov. 15",88,96,,Enriquez (C. M.),The Realm of the gods : a tale of travel.,Cr. 8vo.,75. 6d. net,THACKER,Nov. 15,1915,False
"Ensor (R. C. K.)- Belgium, 12m0., pp. 256, is. net (Home univ. lib.) WILLIAMS & N., Mar. 15",88,96,,Ensor (R. C. K.),"Belgium,",12m0.,"pp. 256, is. net (Home univ. lib.)",WILLIAMS & N.,Mar. 15,1915,False
"Entomology (Imperial Bureau of)—Report, 1914. id.... WYMAN, Feb. 15",88,96,,,"Entomology (Imperial Bureau of)—Report, 1914.",,id....,WYMAN,Feb. 15,1915,False
"Entrenching made easy. By the staff of “The Regiment.” 12mo, swd. 6d, net TEMPLE PRESS, Jan. 15",88,96,,,Entrenching made easy. By the staff of “The Regiment.”,"12mo, swd.","6d, net",TEMPLE PRESS,Jan. 15,1915,False
"Entwistle (Mary)-The Book of island babies : stories for the primary department and the home. Cr. 8vo., pp. 56, 6d. net UNITED COUNCIL, Sep. 15",88,96,,Entwistle (Mary),The Book of island babies : stories for the primary department and the home.,Cr. 8vo.,"pp. 56, 6d. net",UNITED COUNCIL,Sep. 15,1915,False
"Epitome of useful information rela. to trade marks, letters patent, designs, copyright and the use of Royal arms. 2nd ed. 81x51, pp. 120, .T. B. BROWNE, May 15",89,97,,,"Epitome of useful information rela. to trade marks, letters patent, designs, copyright and the use of Royal arms. 2nd ed.",,"81x51, pp. 120, .",T. B. BROWNE,May 15,1915,False
